"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","Percent","Percent","239","units","0","v1792513566","1.1.1.1.1","45.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513567","1.1.1.1.2","39.7","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513568","1.1.1.1.3","51.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","Number of persons","Number","223","units","0","v1792513569","1.1.1.1.4","16607200","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513570","1.1.1.1.5","14445500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513571","1.1.1.1.6","18768900","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","Percent","Percent","239","units","0","v1792513572","1.1.1.2.1","42.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","Low 95% confidence interval, percent","Percent","239","units","0","v1792513573","1.1.1.2.2","37.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","High 95% confidence interval, percent","Percent","239","units","0","v1792513574","1.1.1.2.3","48.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","Number of persons","Number","223","units","0","v1792513575","1.1.1.2.4","2739700","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513576","1.1.1.2.5","2402800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513577","1.1.1.2.6","3076500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 4","Percent","Percent","239","units","0","v1792513578","1.1.1.3.1","91.0","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 4","Low 95% confidence interval, percent","Percent","239","units","0","v1792513579","1.1.1.3.2","83.3","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 4","High 95% confidence interval, percent","Percent","239","units","0","v1792513580","1.1.1.3.3","95.3","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 3 to 4","Number of persons","Number","223","units","0","v1792513581","1.1.1.3.4","617000","E","","","0"
